Date,Polygon,mean_Temp,min_Temp,max_Temp,mean_DO,min_DO,max_DO,mean_depth,min_depth,max_depth,mean_turbidity,min_turb,max_turb,start_Time,end_Time
4/9/2025,East,6.4575,6.23,6.67,13.075,13.01,13.19,NA,Inf,#NAME?,9.3,8.44,10.35,21:00:00,22:30:00
4/9/2025,North,7.726666667,7.7,7.75,13.64666667,12.65,14.66,NA,Inf,#NAME?,9.0,4.31,12.35,19:01:00,20:55:00
4/9/2025,South,6.65,6.2,6.97,13.1925,12.82,13.74,NA,Inf,#NAME?,9.2,8.3,10.1,22:52:00,23:24:00
4/9/2025,West,6.26,5.57,6.64,13,12.73,13.17,NA,Inf,#NAME?,6.3,5.37,7.89,0:06:00,23:46:00
4/14/2025,East,9.63,8.72,10.54,11.695,11.63,11.76,NA,Inf,#NAME?,258.4,6.8,510,2:00:00,22:26:00
4/14/2025,North,12.14,11.74,12.54,11.505,10.77,12.24,NA,Inf,#NAME?,53.3,34.38,72.31,22:40:00,23:59:00
4/14/2025,South,10.325,9.68,11.35,11.555,10.76,11.93,NA,Inf,#NAME?,24.4,10.63,48.2,1:05:00,2:11:00
4/14/2025,West,11.025,10.73,11.32,11.655,11.17,12.14,NA,Inf,#NAME?,19.1,13.24,25.04,18:36:00,18:47:00
4/22/2025,East,11.655,11.35,11.87,10.895,10.16,11.34,1.15,1.15,1.15,25.7,12.14,59.7,1:07:00,1:32:00
4/22/2025,North,13.29333333,11.3,14.96,10.86333333,9.7,11.88,1.15,1.1,1.25,44.5,12.14,65.83,21:18:00,21:38:00
4/22/2025,South,10.17,10.17,10.17,10.47,10.47,10.47,NA,Inf,#NAME?,7.1,7.1,7.1,2:00:00,2:27:00
4/22/2025,West,11.27,10.5,12.5,11.66,10.99,12.24,0.96,0.88,1.1,10.9,10.46,11.49,19:19:00,20:30:00
4/28/2025,East,12.7,12.26,13.15,12.5325,12.22,12.75,NA,Inf,#NAME?,4.2,3.47,5.5,18:08:00,18:50:00
4/28/2025,North,15.57333333,14.52,16.54,11.63,11.52,11.72,1.05,0.95,1.1,11.4,8.46,13.38,19:03:00,20:13:00
4/28/2025,South,13.7975,13.55,14.1,12.225,12.17,12.27,1.2,1.2,1.2,8.4,7.49,8.79,23:02:00,23:27:00
4/28/2025,West,14.45666667,13.98,15.01,12.14666667,11.46,12.57,1.15,1.07,1.3,11.6,10.08,13.33,20:31:00,22:49:00
